RepoId,CloudProvider,TotalViolations
468348100,AWS,89200
359745886,AWS,0
644001193,AWS,7843
135275788,AWS,8390
713667380,AWS,1771
233153882,AWS,3837
358316740,AWS,504
314383354,AWS,5879
365170429,AWS,1947
316823064,AWS,1329
811985381,AWS,1230
693434982,AWS,1173
696608230,AWS,1173
697811568,AWS,1173
716809442,AWS,1202
739952615,AWS,1202
754029275,AWS,1202
759819689,AWS,1202
772029771,AWS,1202
792347755,AWS,1202
285297257,AWS,75
655148905,AWS,1165
656210979,AWS,1165
661643467,AWS,1165
664970407,AWS,1165
674966534,AWS,1165
674966836,AWS,1165
685887478,AWS,1165
692509597,AWS,1165
645476770,AWS,1097
598823582,AWS,1771
630877605,AWS,989
111281391,AWS,764
621807658,AWS,971
627271787,AWS,969
627604933,AWS,1083
309475982,AWS,444
186012495,AWS,677
611549380,AWS,312
755713599,AWS,579
237727191,AWS,586
83412971,AWS,979
387257715,AWS,992
126539684,AWS,2389
299432782,AWS,2389
580632422,AWS,684
581672953,AWS,684
816758365,AWS,103
223276619,AWS,844
542492972,AWS,844
803491346,AWS,0
572880959,AWS,666
623483297,AWS,0
511166721,AWS,451
441895103,AWS,840
664557995,AWS,49
664967341,AWS,49
510420717,AWS,807
609271016,AWS,345
131209713,AWS,1307
600501500,AWS,860
506329962,AWS,387
739653205,AWS,676
176755635,AWS,673
181366709,AWS,916
556785478,AWS,377
564809052,AWS,169
559965987,AWS,375
591709188,AWS,375
188791808,AWS,1260
536273493,AWS,362
605820275,AWS,362
592279901,AWS,355
470744160,AWS,359
510279631,AWS,359
510637673,AWS,359
530651073,AWS,359
534487498,AWS,359
540106975,AWS,359
559972143,AWS,359
673449513,AWS,359
677253497,AWS,359
692983807,AWS,359
844691667,AWS,359
97986310,AWS,725
467691936,AWS,378
278376996,AWS,656
722283501,AWS,515
118637305,AWS,397
550638162,AWS,564
551147596,AWS,564
557417308,AWS,564
665052957,AWS,564
319976193,AWS,141
513347606,AWS,293
128846069,AWS,835
558017146,AWS,835
506747965,AWS,504
374766273,AWS,2702
391824637,AWS,2702
644001560,Azure,4409
128292225,Azure,280
117169328,Azure,1050
599938460,Azure,206
282118017,Azure,193
797329725,Azure,196
176246363,Azure,495
817303633,Azure,798
693672967,Azure,196
666067381,Azure,195
577994620,Azure,0
647235856,Azure,0
513730319,Azure,371
640802724,Azure,199
572269654,Azure,192
580254078,Azure,192
633641453,Azure,192
554989082,Azure,186
557299536,Azure,192
696676590,Azure,754
768184571,Azure,195
588964023,Azure,693
143449454,Azure,767
665372193,Azure,740
657780902,Azure,733
674795412,Azure,733
679318725,Azure,733
679850001,Azure,381
619985349,Azure,215
690873714,Azure,1696
624710553,Azure,701
624715593,Azure,701
627001616,Azure,701
630013616,Azure,701
656227006,Azure,701
656271915,Azure,701
670112172,Azure,701
623288793,Azure,694
209121759,Azure,476
439720406,Azure,715
511698000,Azure,371
464893578,Azure,303
448814460,Azure,277
468400791,Azure,350
426086245,Azure,550
562732880,Azure,550
430977009,Azure,67
535660355,Azure,538
546177917,Azure,538
329581964,Azure,631
328677278,Azure,684
518964257,Azure,500
428768903,Azure,64
540390886,Azure,1117
268796910,Azure,752
481275130,Azure,367
437190676,Azure,709
805140576,Azure,314
352560671,Azure,86
400947589,Azure,306
409191599,Azure,266
461398902,Azure,439
827249501,Azure,329
459554009,Azure,0
54127662,Azure,159
778426125,Azure,94
815116426,Azure,94
835637100,Azure,94
835716252,Azure,94
657707858,Azure,101
658039101,Azure,101
682159014,Azure,101
434153150,Azure,414
389578940,Azure,263
779504611,Azure,335
391046390,Azure,202
639911160,Azure,184
394980785,Azure,212
706522229,Azure,144
651274684,Azure,299
296009047,Azure,108
614653257,Azure,352
590944318,Azure,237
136893185,Azure,575
478028651,Azure,102
690098315,Azure,65
648420538,Azure,219
844577430,Azure,480
143759623,Azure,6
446924133,Azure,93
149825657,Azure,103
399946543,Azure,157
568698151,Azure,157
170391240,Azure,1545
381052370,Azure,129
404630182,Azure,129
732262233,Azure,126
557397252,Azure,181
428768908,Azure,30
314090018,Azure,38
656931474,Azure,38
151184921,GCP,1379
727964871,GCP,807
731488113,GCP,661
357999885,GCP,2124
632992155,GCP,646
637606144,GCP,734
513688226,GCP,540
529133508,GCP,518
562537475,GCP,654
184825074,GCP,189
444075203,GCP,315
756772422,GCP,820
765284557,GCP,837
