resource_type,ViolationCount
aws_instance,20553
aws_s3_bucket,17956
aws_rds_cluster,16998
azurerm_storage_account,15928
aws_security_group,9967
azurerm_mssql_server,8873
aws_lambda_function,7335
azurerm_kubernetes_cluster,6930
google_container_cluster,6692
azurerm_app_service,6684
aws_db_instance,5502
google_sql_database_instance,5154
aws_vpc,4991
google_compute_instance,4876
aws_eks_cluster,4786
google_compute_subnetwork,4278
google_storage_bucket,3925
aws_iam_policy_document,3713
azurerm_mssql_server_security_alert_policy,3631
aws_subnet,3434
aws_cloudwatch_log_group,2725
aws_elasticsearch_domain,2678
azurerm_linux_virtual_machine,2519
google_container_node_pool,2500
azurerm_key_vault,2444
aws_security_group_rule,2325
azurerm_key_vault_secret,2260
aws_lb,1953
google_project_iam_member,1857
aws_ecr_repository,1849
google_compute_firewall,1790
azurerm_postgresql_server,1756
azurerm_virtual_machine,1739
azurerm_mysql_server,1686
aws_iam_role_policy,1583
azurerm_subnet,1578
google_compute_network,1575
azurerm_container_registry,1479
aws_neptune_cluster,1462
azurerm_windows_virtual_machine,1408
azurerm_network_interface,1344
aws_iam_user_policy,1333
azurerm_linux_web_app,1329
google_bigquery_table,1318
aws_cloudfront_distribution,1296
azurerm_application_gateway,1002
azurerm_network_security_group,974
azurerm_managed_disk,959
google_project,911
aws_kms_key,899
aws_elb,896
azurerm_cosmosdb_account,863
google_bigquery_dataset,814
aws_ebs_volume,810
serviceaccount,776
aws_codebuild_project,753
aws_lb_listener,746
azurerm_network_security_rule,730
google_compute_instance_template,713
google_compute_disk,677
aws_iam_policy,652
azurerm_key_vault_key,650
azurerm_sql_server,630
azurerm_security_center_contact,614
google_service_account_key,608
azurerm_service_plan,604
aws_dynamodb_table,577
restricted_shared_vpc,573
google_pubsub_topic,571
aws_route53_zone,562
irsa,558
aws_secretsmanager_secret,548
azurerm_storage_container,534
aws_redshift_cluster,517
aws_iam_user,497
base_shared_vpc,485
vpc,482
aws_ssm_parameter,452
azurerm_windows_web_app,437
aws_cloudtrail,420
aws_lb_target_group,415
azurerm_postgresql_configuration,403
aws_api_gateway_method,400
azurerm_monitor_log_profile,400
aws_neptune_cluster_snapshot,400
example,388
oci_core_security_list,368
azurerm_app_configuration,354
azurerm_linux_virtual_machine_scale_set,353
aws_api_gateway_stage,349
google_kms_crypto_key,338
aws_lambda_function_url,310
oci_core_instance,308
rds,301
aws_eip,298
aws_apigatewayv2_route,295
aws_launch_configuration,291
azurerm_virtual_network,287
aws_elasticache_replication_group,285
aws_sqs_queue,284
kubernetes_pod,266
aws_sns_topic,263
azurerm_synapse_workspace,261
aws_s3_bucket_object,255
aws_autoscaling_group,251
azurerm_network_watcher_flow_log,244
serviceaccount_circleci,241
aws_launch_template,238
secrets_manager,235
ecr,229
azurerm_security_center_subscription_pricing,226
azurerm_storage_account_network_rules,224
service_pod,221
elasticache_redis,219
gke,219
ecr_credentials,216
azurerm_cognitive_account,213
test,209
azurerm_role_definition,205
google_storage_bucket_iam_binding,204
aws,202
this,199
azurerm_firewall,194
eks,191
aws_apigatewayv2_stage,191
google_artifact_registry_repository,189
network,185
azurerm_container_group,182
kubernetes_deployment,174
aws_acm_certificate,173
env,172
aws_alb,171
read_replica,167
aws_s3_bucket_public_access_block,166
github_repository,162
azurerm_machine_learning_compute_cluster,157
azurerm_machine_learning_workspace,153
scheduled_downtime_service_account,152
oci_core_volume,151
aws_ecs_service,149
google_dns_managed_zone,144
azurerm_servicebus_namespace,141
aws_efs_file_system,138
aws_ecs_task_definition,136
aws_rds_cluster_instance,135
azurerm_api_management,133
aws_ecs_cluster,130
ecr-repo,125
azurerm_mysql_flexible_server,122
aws_iam_user_policy_attachment,116
azurerm_firewall_policy,115
azurerm_linux_function_app,114
aws_s3_bucket_ownership_controls,112
azurerm_windows_virtual_machine_scale_set,110
s3_bucket,110
azurerm_synapse_sql_pool,108
azurerm_postgresql_flexible_server,108
aws_mq_broker,106
google_notebooks_instance,105
aws_api_gateway_rest_api,103
azurerm_automation_account,100
aws_sagemaker_notebook_instance,98
aws_sfn_state_machine,96
azurerm_virtual_machine_scale_set,94
azurerm_kubernetes_cluster_node_pool,94
aws_alb_listener,92
aws_route53_record,90
google_cloudfunctions2_function,89
aws_kinesis_firehose_delivery_stream,89
naming,88
google_cloud_run_service_iam_member,87
azurerm_mssql_database,82
"int_test_asm[""roles/iam",80
aws_kinesis_stream,80
google_compute_project_metadata,78
azurerm_search_service,77
kubernetes_deployment_v1,75
google_data_fusion_instance,74
google_redis_instance,74
acm_operator,70
configsync_operator,70
app,70
google_notebooks_runtime,69
kubernetes_pod_v1,68
azurerm_windows_function_app,66
azurerm_redis_cache,65
