CloudProvider,resource_type,ViolationCount
AWS,aws_instance,20152
AWS,aws_s3_bucket,17346
AWS,aws_rds_cluster,16980
AWS,aws_security_group,9659
AWS,azurerm_mssql_server,8400
AWS,aws_lambda_function,7217
AWS,aws_db_instance,5405
AWS,azurerm_storage_account,5111
AWS,aws_vpc,4875
AWS,azurerm_app_service,4872
AWS,aws_eks_cluster,4782
AWS,google_container_cluster,3863
AWS,aws_iam_policy_document,3671
AWS,azurerm_mssql_server_security_alert_policy,3600
AWS,azurerm_kubernetes_cluster,3510
AWS,aws_subnet,3393
AWS,google_sql_database_instance,2912
AWS,aws_cloudwatch_log_group,2721
AWS,aws_elasticsearch_domain,2678
AWS,google_compute_instance,2395
AWS,aws_security_group_rule,2294
AWS,aws_lb,1891
AWS,aws_ecr_repository,1841
AWS,aws_iam_role_policy,1569
AWS,google_compute_firewall,1524
AWS,aws_neptune_cluster,1462
AWS,azurerm_postgresql_server,1431
AWS,azurerm_mysql_server,1405
AWS,aws_iam_user_policy,1333
AWS,aws_cloudfront_distribution,1234
AWS,google_container_node_pool,1100
AWS,google_storage_bucket,1051
AWS,azurerm_key_vault,1015
AWS,google_compute_subnetwork,938
AWS,azurerm_linux_virtual_machine,929
AWS,aws_kms_key,882
AWS,aws_elb,879
AWS,aws_ebs_volume,804
AWS,serviceaccount,776
AWS,aws_codebuild_project,752
AWS,aws_lb_listener,723
AWS,azurerm_network_security_group,703
AWS,azurerm_sql_server,620
AWS,azurerm_application_gateway,604
AWS,azurerm_managed_disk,600
AWS,azurerm_security_center_contact,600
AWS,aws_iam_policy,598
AWS,irsa,558
AWS,aws_route53_zone,552
AWS,aws_secretsmanager_secret,548
AWS,aws_redshift_cluster,517
AWS,aws_dynamodb_table,490
AWS,azurerm_virtual_machine,483
AWS,aws_iam_user,478
AWS,aws_ssm_parameter,451
AWS,vpc,450
AWS,aws_cloudtrail,416
AWS,google_bigquery_dataset,407
AWS,azurerm_key_vault_secret,406
AWS,azurerm_windows_virtual_machine,404
AWS,aws_neptune_cluster_snapshot,400
AWS,azurerm_key_vault_key,400
AWS,azurerm_monitor_log_profile,400
AWS,azurerm_postgresql_configuration,400
AWS,aws_lb_target_group,399
AWS,aws_api_gateway_method,397
AWS,azurerm_subnet,372
AWS,oci_core_security_list,367
AWS,aws_api_gateway_stage,349
AWS,aws_lambda_function_url,310
AWS,oci_core_instance,306
AWS,rds,301
AWS,aws_apigatewayv2_route,295
AWS,aws_elasticache_replication_group,285
AWS,aws_sqs_queue,281
AWS,aws_eip,272
AWS,aws_launch_configuration,272
AWS,google_compute_disk,267
AWS,aws_sns_topic,256
AWS,aws_s3_bucket_object,253
AWS,azurerm_network_interface,245
AWS,serviceaccount_circleci,241
AWS,aws_autoscaling_group,239
AWS,secrets_manager,235
AWS,aws_launch_template,232
AWS,ecr,228
AWS,service_pod,221
AWS,elasticache_redis,219
AWS,ecr_credentials,216
AWS,aws,202
AWS,azurerm_role_definition,202
AWS,google_storage_bucket_iam_binding,202
AWS,azurerm_storage_account_network_rules,201
AWS,azurerm_network_watcher_flow_log,200
AWS,azurerm_security_center_subscription_pricing,200
AWS,aws_apigatewayv2_stage,191
AWS,eks,188
AWS,this,187
AWS,aws_acm_certificate,172
AWS,read_replica,167
AWS,aws_alb,161
AWS,scheduled_downtime_service_account,152
AWS,oci_core_volume,151
AWS,aws_ecs_service,142
AWS,github_repository,140
AWS,aws_efs_file_system,138
AWS,aws_ecs_task_definition,135
AWS,google_project,132
AWS,aws_s3_bucket_public_access_block,130
AWS,aws_ecs_cluster,125
AWS,ecr-repo,125
AWS,aws_rds_cluster_instance,123
AWS,google_compute_network,115
AWS,aws_iam_user_policy_attachment,112
AWS,s3_bucket,110
AWS,aws_mq_broker,106
AWS,aws_s3_bucket_ownership_controls,103
AWS,aws_api_gateway_rest_api,101
AWS,aws_sagemaker_notebook_instance,98
AWS,aws_sfn_state_machine,96
AWS,aws_alb_listener,90
AWS,aws_kinesis_firehose_delivery_stream,89
AWS,aws_route53_record,87
AWS,google_compute_instance_template,82
AWS,aws_kinesis_stream,80
AWS,kubernetes_deployment,77
AWS,aws_network_acl,64
AWS,google_cloud_run_service_iam_member,64
AWS,google_cloudfunctions2_function,64
AWS,aws_s3_bucket_lifecycle_configuration,61
AWS,aws_iam_account_password_policy,58
AWS,github_branch_protection,56
AWS,aws_docdb_cluster,54
AWS,aws_opensearch_domain,49
AWS,aws_sqs_queue_policy,49
AWS,aws_mwaa_environment,47
AWS,dps_rds,47
AWS,service_account,47
AWS,aws_vpc_endpoint_service,45
AWS,hmpps_template_kotlin,45
AWS,aws_wafv2_web_acl,44
AWS,aws_elasticache_cluster,43
AWS,aws_elastic_beanstalk_environment,42
AWS,elasticache,42
AWS,aws_appsync_graphql_api,41
AWS,ap_irsa,38
AWS,azurerm_storage_container,33
AWS,aws_autoscaling_attachment,32
AWS,aws_eks_node_group,32
AWS,google_bigquery_table,32
AWS,aws_alb_target_group,31
AWS,aws_waf_web_acl,31
AWS,allow_assume_eks_admins_iam_policy,30
AWS,allow_eks_access_iam_policy,30
AWS,aws_load_balancer_controller_irsa_role,30
AWS,aws_vpc_security_group_ingress_rule,30
AWS,cluster_autoscaler_irsa_role,30
AWS,eks_admins_iam_group,30
AWS,eks_admins_iam_role,30
AWS,google_project_iam_member,30
AWS,hmpps_template_typescript,30
AWS,opensearch,30
AWS,user1_iam_user,30
AWS,account_map,28
AWS,aws_api_gateway_method_settings,28
AWS,aws_dms_replication_instance,28
AWS,aws_iam_group_membership,28
AWS,aws_emr_cluster,27
AWS,aws_lambda_permission,27
AWS,karpenter,27
AWS,redis,27
AWS,aws_s3_bucket_policy,26
AWS,oci_objectstorage_bucket,26
AWS,prometheus,26
AWS,secrets,26
AWS,aws_ami,25
AWS,aws_sns_topic_policy,24
AWS,aws_ami_copy,23
AWS,aws_vpc_security_group_egress_rule,23
AWS,eks_blueprints,23
AWS,kubernetes_addons,23
AWS,serviceaccount_github,23
AWS,aws_route_table,22
AWS,s3,21
AWS,cloudfront,20
AWS,aws_cloudformation_stack,19
AWS,domain_events_dlq,19
AWS,domain_events_queue,19
AWS,aws_athena_workgroup,18
AWS,aws_networkfirewall_firewall,18
AWS,azurerm_container_registry,18
AWS,prisoner-event-dlq,18
AWS,prisoner-event-queue,18
AWS,aws_msk_cluster,17
AWS,aws_workspaces_workspace,17
AWS,secret,17
AWS,aws_dms_endpoint,16
AWS,aws_emr_security_configuration,16
AWS,aws_glue_security_configuration,16
AWS,aws_network_acl_rule,16
AWS,aws_redshift_parameter_group,16
AWS,azurerm_kubernetes_cluster_node_pool,16
AWS,azurerm_linux_virtual_machine_scale_set,16
AWS,refresh_clamav_serviceaccount,16
AWS,rds-instance,15
AWS,oci,14
AWS,secrets_manager_multiple_secrets,14
AWS,aws_fsx_lustre_file_system,13
AWS,github_actions_service_account,13
AWS,allowed_role_map,12
AWS,aws_api_gateway_domain_name,12
AWS,aws_dax_cluster,12
AWS,aws_iam_group_policy,12
AWS,aws_scheduler_schedule,12
AWS,oci_containerengine_cluster,12
AWS,aws_codepipeline,11
AWS,azurerm_network_security_rule,11
AWS,bastion_linux,11
AWS,dns_delegated,11
AWS,redis-elasticache,11
AWS,sqs,11
AWS,aws_api_gateway_deployment,10
AWS,aws_batch_job_definition,10
AWS,aws_default_vpc,10
AWS,aws_glue_job,10
AWS,aws_transfer_server,10
AWS,dns_gbl_delegated,10
AWS,github_actions_secret,10
AWS,google_artifact_registry_repository,10
AWS,google_redis_instance,10
AWS,iam_roles,10
AWS,s3_logging_bucket,10
AWS,aws_backup_vault,9
AWS,aws_ec2_transit_gateway,9
AWS,azurerm_service_plan,9
AWS,denied_role_map,9
AWS,github-automation,9
AWS,kops_metadata,9
AWS,label,9
AWS,rds_instance,9
AWS,s3_snapshot_bucket,9
AWS,utils,9
AWS,ami,8
AWS,aws_iam_role,8
AWS,azurerm_cognitive_account,8
AWS,azurerm_postgresql_flexible_server,8
AWS,child,8
AWS,cvl_domain_events_dead_letter_queue,8
AWS,cvl_domain_events_queue,8
AWS,google_cloudfunctions_function,8
AWS,hmpps_redis,8
AWS,kubernetes,8
AWS,oci_containerengine_node_pool,8
AWS,oci_core_network_security_group_security_rule,8
AWS,pushgateway,8
AWS,rds_aurora,8
AWS,sa_pod_broadcaster,8
AWS,virttype,8
AWS,aws_sagemaker_endpoint_configuration,7
AWS,aws_wafregional_web_acl,7
AWS,circleci-sa,7
AWS,irsa-api,7
AWS,large-court-cases-s3-bucket,7
AWS,networking,7
AWS,opensearch_snapshot_bucket,7
AWS,pagerduty_core_alerts,7
AWS,s3-bucket,7
AWS,serviceaccount-github,7
AWS,sqs_queue,7
AWS,alb,6
AWS,analytical-platform,6
AWS,aurora-cluster,6
AWS,aws_appsync_api_cache,6
AWS,aws_config_configuration_recorder_status,6
AWS,aws_efs_access_point,6
AWS,aws_fsx_openzfs_file_system,6
AWS,aws_networkfirewall_rule_group,6
AWS,azurerm_container_group,6
AWS,crm_elasticache,6
AWS,dead-letter-queue,6
AWS,dps_rds_replica[0],6
AWS,environment_dev,6
AWS,environment_test,6
AWS,flipt-db,6
AWS,google_dataflow_job,6
AWS,google_project_iam_binding,6
AWS,hmpps-tier-ui,6
AWS,hmpps_electronic_monitoring_crime_matching_api,6
AWS,iac04_module,6
AWS,ims_attachments_storage_bucket,6
AWS,ims_images_storage_bucket,6
AWS,node_group,6
AWS,opensearch_alert,6
AWS,openstack,6
AWS,queue,6
AWS,rds_alfresco,6
AWS,rds_mssql,6
AWS,s3_opensearch_snapshots_bucket,6
AWS,security_group,6
AWS,subnets,6
AWS,tgw_hub_role,6
AWS,update_from_external_system_events_dlq,6
AWS,update_from_external_system_events_queue,6
AWS,acm,5
AWS,aurora_mysql,5
AWS,aws_cloudfront_response_headers_policy,5
AWS,aws_docdb_cluster_parameter_group,5
AWS,aws_fsx_ontap_file_system,5
AWS,aws_glue_data_catalog_encryption_settings,5
AWS,aws_sagemaker_model,5
AWS,azurerm_storage_table,5
AWS,cccd_elasticache_redis,5
AWS,cccd_rds,5
AWS,cccd_s3_bucket,5
AWS,create_and_vary_a_licence_api_rds,5
AWS,dpr_mi_assume_role,5
AWS,iam_policy,5
AWS,ims_prisoner_details_bucket,5
AWS,ims_prisoner_details_dlq,5
AWS,ims_prisoner_details_queue,5
AWS,irsa_ap,5
AWS,irsa_cas2,5
AWS,irsa_ta,5
AWS,opensearch_dos_alert,5
AWS,vpc_ingress,5
AWS,additional_grants,4
AWS,additional_users,4
AWS,api_gateway_authorizer_staging_firehose,4
AWS,api_gateway_deployment_staging_firehose,4
AWS,api_gateway_domain_name_staging_firehose,4
AWS,api_gateway_integration_staging_firehose,4
AWS,api_gateway_route_staging_firehose,4
AWS,api_gateway_stage_staging_firehose,4
AWS,api_gateway_staging_firehose,4
AWS,asg,4
AWS,attachment_metadata_extractor_dead_letter_queue,4
AWS,attachment_metadata_extractor_queue,4
AWS,attachment_metadata_transformer_dead_letter_queue,4
AWS,attachment_metadata_transformer_queue,4
AWS,audit,4
AWS,audit_dynamodb,4
AWS,aws-policy,4
AWS,aws_codecommit_repository,4
AWS,aws_config_configuration_recorder,4
AWS,aws_fsx_windows_file_system,4
AWS,aws_iam_role_policy_attachment,4
AWS,aws_networkfirewall_firewall_policy,4
AWS,aws_qldb_ledger,4
AWS,aws_ssm_document,4
AWS,azurerm_linux_function_app,4
AWS,bastion_ami,4
AWS,book-a-prison-visit-staff-ui,4
AWS,book_a_secure_move_documents_s3_bucket,4
AWS,book_a_secure_move_metrics_s3_bucket,4
AWS,book_a_secure_move_reporting_s3_bucket,4
AWS,cas-2-domain-events-listener-dlq,4
AWS,cas-2-domain-events-listener-queue,4
AWS,cassandra_security_group,4
AWS,cccd_claims_submitted,4
AWS,cccd_response_dead_letter_queue,4
AWS,cclf_dead_letter_queue,4
AWS,ccr_dead_letter_queue,4
AWS,cdn-ap-northeast-1,4
AWS,cdn-ap-northeast-2,4
AWS,cdn-ap-south-1,4
AWS,cdn-ap-southeast-1,4
AWS,cdn-ap-southeast-2,4
AWS,cdn-ca-central-1,4
AWS,cdn-eu-central-1,4
AWS,cdn-eu-west-1,4
AWS,cdn-eu-west-2,4
AWS,cdn-sa-east-1,4
AWS,cdn-us-east-1,4
AWS,cdn-us-east-2,4
AWS,cdn-us-west-1,4
AWS,cdn-us-west-2,4
AWS,ceph_client,4
AWS,ceph_deployer,4
AWS,ceph_mds,4
AWS,ceph_monitors,4
AWS,ceph_network,4
AWS,ceph_osds,4
AWS,certificate_backup,4
AWS,cica_ecr_credentials,4
AWS,circleci_service_account,4
AWS,cla_backend_deleted_objects_bucket,4
AWS,cla_backend_private_reports_bucket,4
AWS,cla_backend_rds_postgres_14,4
AWS,cla_backend_static_files_bucket,4
AWS,cla_frontend_static_files_bucket,4
AWS,claim-criminal-injuries-application-dlq,4
AWS,claim-criminal-injuries-application-queue,4
AWS,claim-criminal-injuries-notify-dlq,4
AWS,claim-criminal-injuries-notify-queue,4
AWS,claim-criminal-injuries-tempus-dlq,4
AWS,claim-criminal-injuries-tempus-queue,4
AWS,claims_for_cclf,4
AWS,claims_for_ccr,4
AWS,cloudtrail,4
AWS,corp,4
AWS,court-cases,4
AWS,court-cases-dlq,4
AWS,court-cases-queue,4
AWS,court-facing-api-irsa,4
AWS,court-facing-api-service_pod,4
AWS,court-hearing-event,4
AWS,court_case_service_rds,4
AWS,court_data_adaptor_rds,4
AWS,cpr-court-cases-dlq,4
AWS,cpr-court-cases-queue,4
AWS,crime-portal-gateway,4
AWS,crime-portal-gateway-dead-letter-queue,4
AWS,crime-portal-gateway-queue,4
AWS,crime-portal-gateway-s3-bucket,4
AWS,crime_apps_ec_cluster,4
AWS,cross-irsa,4
AWS,cross_irsa_pod,4
AWS,data,4
AWS,datadog_configuration,4
AWS,dcos-bootstrap,4
AWS,dcos-mesos-master,4
AWS,dev,4
AWS,dms-access-for-endpoint,4
AWS,dms-cloudwatch-logs-role,4
AWS,dms-vpc-role,4
AWS,dms_sns,4
AWS,ecr_feed_parser,4
AWS,efs,4
AWS,elasticache_redis_admin,4
AWS,elasticache_redis_public,4
AWS,elasticache_redis_staff,4
AWS,event_audit_dynamodb,4
AWS,flow_logs,4
AWS,gdpr_rds,4
AWS,gha_role_name,4
AWS,glue_example_admin_role,4
AWS,glue_iam_role,4
AWS,google_bigtable_instance,4
AWS,google_organization_iam_member,4
AWS,google_project_services,4
AWS,hearing_resulted_dead_letter_queue,4
AWS,hearing_resulted_queue,4
AWS,hmpps-auth,4
AWS,hmpps-book-a-prison-visit-ui,4
AWS,hmpps-community-accommodation-tier-2-bail-ui,4
AWS,hmpps-locations-inside-prison,4
