resource_type,total_violations,repo_count
aws_cloudwatch_log_group.flow_log,2,1
module.consul_clients.aws_launch_configuration.launch_configuration,2,1
module.consul_clients.aws_security_group_rule.allow_all_outbound,2,1
module.consul_clients.aws_security_group_rule.allow_ssh_inbound,2,1
module.vpc.aws_vpc.this[0],2,1
module.consul_servers.aws_launch_configuration.launch_configuration,2,1
module.consul_servers.aws_security_group_rule.allow_all_outbound,2,1
module.consul_servers.aws_security_group_rule.allow_ssh_inbound,2,1
module.flow_log.aws_cloudwatch_log_group.this,1,1
module.flow_log_s3.aws_cloudwatch_log_group.this,1,1
